Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2014-08-04 22:49:30;2014-08-05 05:27:43;68%;6:38;:|;;;0
2014-08-05 22:48:35;2014-08-06 05:29:54;67%;6:41;:|;;;0
2014-08-06 22:36:16;2014-08-07 05:44:47;75%;7:08;:|;;;0
2014-08-07 23:35:58;2014-08-08 05:59:58;71%;6:24;:|;;;0
2014-08-10 23:31:01;2014-08-11 05:59:53;70%;6:28;:|;;;0
2014-08-11 22:51:36;2014-08-12 05:57:06;83%;7:05;:|;;;0
2014-08-12 22:15:22;2014-08-13 05:44:55;81%;7:29;:|;;;0
2014-08-13 23:11:49;2014-08-14 05:21:29;66%;6:09;:|;;;0
2014-08-14 22:29:41;2014-08-15 06:00:11;83%;7:30;:|;;;0
2014-08-15 22:35:25;2014-08-16 06:30:34;90%;7:55;:|;;;0
2014-08-17 23:26:46;2014-08-18 06:29:10;72%;7:02;:|;;;0
2014-08-18 22:44:21;2014-08-19 05:28:47;75%;6:44;;;;0
2014-08-19 23:11:44;2014-08-20 05:29:44;69%;6:17;:|;;;0
2014-08-20 22:41:13;2014-08-21 05:29:20;76%;6:48;:|;;;0
2014-08-22 00:45:45;2014-08-22 06:27:02;68%;5:41;:|;;;0
2014-08-24 23:31:21;2014-08-25 04:41:15;54%;5:09;:|;;;0
2014-08-25 23:01:14;2014-08-26 06:05:22;78%;7:04;:|;;;0
2014-08-26 22:48:47;2014-08-27 05:59:51;80%;7:11;:|;;;0
2014-08-28 23:04:53;2014-08-29 05:59:42;72%;6:54;:|;;;0
2014-09-01 22:13:19;2014-09-02 05:55:12;86%;7:41;:|;;;0
2014-09-02 23:30:45;2014-09-03 06:00:29;71%;6:29;:|;;;0
2014-09-03 23:16:23;2014-09-04 05:07:58;66%;5:51;:|;;;0
2014-09-04 05:08:14;2014-09-04 06:00:24;11%;0:52;:(;;;0
2014-09-04 23:19:38;2014-09-05 06:00:22;79%;6:40;:|;;;0
2014-09-07 22:24:37;2014-09-08 07:00:29;95%;8:35;:|;;;0
2014-09-08 23:36:10;2014-09-09 06:00:43;74%;6:24;:|;;;0
2014-09-09 23:33:41;2014-09-10 05:29:45;66%;5:56;:);;;0
2014-09-10 23:59:43;2014-09-11 06:00:10;61%;6:00;:|;;;0
2014-09-11 21:54:22;2014-09-12 05:59:18;93%;8:04;;;;0
2014-09-14 22:29:16;2014-09-15 05:45:53;79%;7:16;:|;;;0
2014-09-15 22:26:59;2014-09-16 05:39:25;74%;7:12;;;;0
2014-09-16 21:55:00;2014-09-17 05:45:11;81%;7:50;:(;;;0
2014-09-17 22:28:38;2014-09-18 06:14:57;79%;7:46;:(;;;0
2014-09-19 01:34:38;2014-09-19 06:15:30;43%;4:40;:|;;;0
2014-09-19 22:53:55;2014-09-20 07:56:37;82%;9:02;:|;;;0
2014-09-21 22:09:05;2014-09-22 05:45:37;81%;7:36;:(;;;0
2014-09-22 22:30:16;2014-09-23 05:35:35;72%;7:05;:|;;;0
2014-09-23 22:49:06;2014-09-24 05:30:32;69%;6:41;:|;;;0
2014-09-24 23:14:37;2014-09-25 06:00:55;69%;6:46;:|;;;0
2014-09-28 23:15:46;2014-09-29 06:00:39;73%;6:44;:|;;;0
2014-09-29 23:24:31;2014-09-30 06:10:21;73%;6:45;:|;;;0
